id,determination_score,determination_id,event_id,date,deployment_id,deployment_name,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,species,bbox
826337,0.12864768505096402,5114,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Thermesiini,Ascalapha,Ascalapha,Ascalapha odorata,"[6.0, 1709.0, 143.0, 2121.0]"
826338,0.15329840779304502,42,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria signaria,"[3637.0, 1278.0, 4017.0, 1699.0]"
826339,0.527287125587463,516,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Archipini,Archips,Archips,Archips rosana,"[1073.0, 3510.0, 1227.0, 3627.0]"
826340,1.0,11314,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,,,,,"[3185.0, 870.0, 3311.0, 1041.0]"
826341,0.26116177439689603,42,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria signaria,"[589.0, 3549.0, 833.0, 3975.0]"
826342,0.116041310131549,2211,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Phycitinae,Phycitini,Plodia,Plodia,Plodia interpunctella,"[1553.0, 1242.0, 1716.0, 1402.0]"
826343,1.0,9,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Lophocampa,Lophocampa caryae,"[6095.0, 3369.0, 6480.0, 4027.0]"
826344,0.34852647781372004,4546,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris,Acleris semipurpurana,"[1566.0, 1649.0, 1670.0, 1808.0]"
826345,1.0,4546,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris,Acleris semipurpurana,"[5945.0, 2768.0, 6065.0, 2950.0]"
826346,0.535449802875518,4546,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris,Acleris semipurpurana,"[50.0, 4412.0, 229.0, 4551.0]"
826347,0.11903803050518001,6551,10391,Aug 22 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Besma,Besma,Besma quercivoraria,"[7476.0, 5211.0, 9152.0, 6910.0]"
826348,1.0,6365,10391,Aug 22 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Lambdina,Lambdina,Lambdina fiscellaria,"[7836.0, 5177.0, 8521.0, 5688.0]"
826349,1.0,6954,10253,Apr 23 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Drepanoidea,Drepanidae,Drepaninae,Drepanini,Drepana,Drepana,Drepana arcuata,"[1608.0, 2914.0, 1987.0, 3252.0]"
826350,0.380490124225616,6448,10253,Apr 23 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Nemoriini,Nemoria,Nemoria,Nemoria bistriaria,"[6536.0, 1455.0, 6764.0, 1712.0]"
826351,0.073328539729118,6925,10253,Apr 23 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Spilomelinae,Nomophilini,Desmia,Desmia,Desmia funeralis,"[8040.0, 478.0, 9084.0, 1501.0]"
826352,0.18580444157123502,3543,10253,Apr 23 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Coleophoridae,Coleophorinae,Coleophora,,Coleophora,Coleophora mayrella,"[1430.0, 3311.0, 1799.0, 3559.0]"
826353,0.71517938375473,11613,10399,Sep 12 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[0.0, 5246.0, 971.0, 6926.0]"
826354,0.9429271221160881,11613,10399,Sep 12 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7694.0, 5322.0, 9152.0, 6944.0]"
826355,0.508599698543548,11613,10399,Sep 12 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[3128.0, 6613.0, 3613.0, 6925.0]"
826356,0.275402754545211,4468,10399,Sep 12 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Cnephasiini,Decodes,Decodes,Decodes basiplagana,"[6265.0, 4927.0, 6420.0, 5107.0]"
826357,1.0,6365,10399,Sep 12 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Lambdina,Lambdina,Lambdina fiscellaria,"[5847.0, 6489.0, 6375.0, 6944.0]"
826358,0.557319045066833,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5181.0, 1157.0, 6944.0]"
826359,0.8324620127677911,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7527.0, 5931.0, 9078.0, 6901.0]"
826360,0.05929597467184,3851,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Choreutoidea,Choreutidae,Choreutinae,Choreutis,,Choreutis,Choreutis pariana,"[7582.0, 664.0, 7736.0, 767.0]"
826361,0.097466520965099,7360,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Arctiina,Virbia,Virbia laeta,"[1376.0, 828.0, 1537.0, 1047.0]"
826362,0.16195088624954201,4995,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Noctuidae,Noctuinae,Tholerini,Nephelodes,Nephelodes,Nephelodes minians,"[2091.0, 6789.0, 2203.0, 6919.0]"
826363,0.9409109950065611,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[10.0, 5700.0, 927.0, 6944.0]"
826364,0.901408433914184,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7658.0, 5935.0, 9118.0, 6913.0]"
826365,0.8895830512046811,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5073.0, 1240.0, 6944.0]"
826366,0.6624345779418941,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[8601.0, 6033.0, 8989.0, 6944.0]"
826367,0.9552792310714721,11613,10299,Sep 17 2025,297,AMA,,,Not Lepidoptera,,,,,,,,"[7649.0, 5718.0, 8549.0, 6872.0]"
826368,0.927630901336669,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[8579.0, 6040.0, 8982.0, 6944.0]"
826369,0.8493235111236571,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7569.0, 5944.0, 9110.0, 6926.0]"
826370,0.659783899784088,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[58.0, 4995.0, 1347.0, 6944.0]"
826371,0.923244953155517,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[4152.0, 3814.0, 4316.0, 4121.0]"
826372,0.8831595778465271,11613,10335,Jul 18 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[12.0, 5727.0, 901.0, 6944.0]"
826373,1.0,5514,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Hypoprepia,Hypoprepia fucosa,"[5356.0, 4164.0, 5586.0, 4473.0]"
826374,1.0,5514,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Hypoprepia,Hypoprepia fucosa,"[3679.0, 1487.0, 3958.0, 1804.0]"
826375,1.0,7246,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria pustularia,"[5345.0, 3189.0, 5777.0, 3480.0]"
826376,0.46787920594215304,5514,10335,Jul 18 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Hypoprepia,Hypoprepia fucosa,"[7281.0, 6725.0, 7426.0, 6944.0]"
826377,0.9426584243774411,11613,10365,May 12 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7994.0, 5409.0, 9152.0, 6928.0]"
826378,0.135565727949142,6233,10365,May 12 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Crambinae,Crambini,Parapediasia,Parapediasia,Parapediasia teterellus,"[25.0, 5882.0, 911.0, 6756.0]"
826379,0.695778012275695,11613,10364,May 9 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[0.0, 5755.0, 961.0, 6813.0]"
826380,0.9285638928413391,11613,10364,May 9 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7957.0, 5393.0, 9152.0, 6914.0]"
826381,0.9089699387550351,11613,10332,Jul 11 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[4553.0, 2561.0, 4684.0, 2715.0]"
826382,0.708845257759094,11613,10332,Jul 11 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[881.0, 2820.0, 1008.0, 2984.0]"
